rank,start,decay_per_day,floor,mean_cohort_accuracy,mean_event_accuracy,delta_vs_50_50_pp,delta_vs_irl_only_pp,delta_vs_online_only_pp
188,0.9,0.05,0.2,84.08342963322909,84.4631777344181,-0.028495322624195296,1.88030045087811,7.711176772955682
189,0.9,0.05,0.15,84.08293176621646,84.4714039558149,-0.028993189636821626,1.8798025838654837,7.710678905943055
190,0.9,0.05,0.25,84.07800844678805,84.44895642131365,-0.0339165090652358,1.8748792644370695,7.705755586514641
191,0.8,0.04,0.3,84.07702711229338,84.4737511951025,-0.03489784355990366,1.8738979299424017,7.704774252019973
192,0.8,0.04,0.2,84.04321036602136,84.45621049011147,-0.06871458983192724,1.840081183670378,7.67095750574795
193,0.8,0.04,0.15,84.04271249900873,84.46443671150828,-0.06921245684455357,1.8395833166577518,7.670459638735323
194,0.9,0.05,0.1,84.04222547484113,84.42723865670985,-0.06969948101215095,1.8390962924901544,7.669972614567726
195,0.85,0.05,0.3,84.04129952939148,84.4430078851234,-0.07062542646180248,1.8381703470405029,7.6690466691180745
196,0.8,0.04,0.25,84.03778917958033,84.44198917700703,-0.07413577627295354,1.8346599972293518,7.6655363193069235
197,0.8,0.04,0.1,84.0020062076334,84.42027141240322,-0.1099187482198829,1.7988770252824224,7.629753347359994
198,0.8,0.05,0.35,83.97054400242472,84.38122806725403,-0.14138095342856616,1.7674148200737392,7.598291142151311
199,0.95,0.01,0.5,83.91727384816421,84.0788711789495,-0.19465110768906868,1.7141446658132367,7.545020987890808
200,0.95,0.01,0.45,83.91493325744992,84.07726202283342,-0.19699169840336594,1.7118040750989394,7.542680397176511
201,0.95,0.01,0.4,83.91493325744992,84.07726202283342,-0.19699169840336594,1.7118040750989394,7.542680397176511
202,0.95,0.01,0.35,83.91493325744992,84.07726202283342,-0.19699169840336594,1.7118040750989394,7.542680397176511
203,0.95,0.01,0.3,83.91493325744992,84.07726202283342,-0.19699169840336594,1.7118040750989394,7.542680397176511
204,0.95,0.01,0.25,83.91493325744992,84.07726202283342,-0.19699169840336594,1.7118040750989394,7.542680397176511
205,0.95,0.01,0.2,83.91493325744992,84.07726202283342,-0.19699169840336594,1.7118040750989394,7.542680397176511
206,0.95,0.01,0.15,83.91493325744992,84.07726202283342,-0.19699169840336594,1.7118040750989394,7.542680397176511
207,0.95,0.01,0.1,83.91493325744992,84.07726202283342,-0.19699169840336594,1.7118040750989394,7.542680397176511
208,0.85,0.05,0.25,83.89092013235604,84.30989993642999,-0.22100482349723904,1.6877909500050663,7.518667272082638
209,0.8,0.05,0.3,83.83456228110141,84.26352613592974,-0.2773626747518705,1.6314330987504349,7.4623094208280065
210,0.85,0.05,0.2,83.76243328872424,84.19028736305354,-0.349491667129044,1.5593041063732613,7.390180428450833
